着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付,東西
5,2,4,アンアヴェンジド,牝5,55,ブノワ,1:36.4,2.1/2,**,13-14,36.3,2.6,1,530(-18),,,,藤沢和雄,大樹ファーム,179.0,201405010311,東
6,3,5,オメガブレイン,牡6,54,田辺裕信,1:36.4,ハナ,**,6-5,36.8,37.1,8,470(+2),,,,古賀慎明,原礼子,,201405010311,東
7,6,11,タツパーシヴ,牡7,52,江田照男,1:36.4,アタマ,**,2-2,37.3,214.1,14,496(-14),,,,鮫島一歩,日下部勝徳,,201405010311,西
8,6,12,ガイヤースヴェルト,牡4,56,リスポリ,1:36.6,1,**,6-5,37.0,4.3,2,494(-8),,,,斎藤誠,サンデーレーシング,,201405010311,東
9,8,15,ミヤジマッキー,牡4,55,蛯名正義,1:36.8,1.1/2,**,10-12,36.9,7.7,4,504(0),,,,牧田和弥,曽我司,,201405010311,西
10,4,7,セイカフォルテ,牡6,56,田中勝春,1:36.9,1/2,**,13-12,37.0,44.3,10,454(-4),,,,相沢郁,久米大,,201405010311,東
11,4,8,エスカーダ,牡7,52,吉田豊,1:37.6,4,**,9-9,37.8,282.3,15,474(-4),,,,高市圭二,山本武司,,201405010311,東
12,1,2,ドラゴンヴォイス,牡6,55,横山和生,1:37.6,クビ,**,10-9,37.8,138.9,12,454(+2),,,,戸田博文,窪田芳郎,,201405010311,東
13,8,16,ヒメサクラ,牝4,53,後藤浩輝,1:37.9,1.3/4,**,3-3,38.6,14.9,7,444(0),,,,柴田政人,岡田勇,,201405010311,東
14,1,1,セイカフォルトゥナ,牝5,53,木幡初広,1:38.1,3/4,**,1-1,39.0,40.6,9,486(0),,,,相沢郁,久米大,,201405010311,東
15,7,14,ワールドブルー,牡8,51,嶋田純次,1:38.6,3,**,6-8,38.9,147.0,13,500(-6),,,,森秀行,ブルーマネジメント,,201405010311,西
取,7,13,エンジョイタイム,牡6,54,大野拓弥,,,**,,,---,,計不,,,,宮本博,前田晋二,,201405010311,西
1,6,11,ジーニマジック,牝4,55,田中勝春,1:21.5,,**,9-8,34.1,8.4,5,472(0),,,,小笠倫弘,田所英子,"1,020.0",201405010312,東
2,1,2,カディーシャ,牝5,55,三浦皇成,1:21.5,クビ,**,9-10,33.9,26.1,10,422(-2),,,,武市康男,ヒダカ・ブリーダーズ・ユニオン,410.0,201405010312,東
3,3,6,ボンジュールココロ,牝4,55,後藤浩輝,1:21.6,クビ,**,7-6,34.5,32.0,11,472(+12),,,,天間昭一,田中善次郎,260.0,201405010312,東
4,7,13,ゴールドカルラ,牝6,55,田辺裕信,1:21.6,アタマ,**,5-5,34.8,18.6,7,520(+10),,,,高木登,磯波勇,150.0,201405010312,東
5,5,9,アンレール,牝4,55,北村宏司,1:21.6,クビ,**,11-10,34.0,5.2,3,458(+2),,,,藤沢和雄,キャロットファーム,102.0,201405010312,東
6,7,14,エパティック,牝6,55,戸崎圭太,1:21.7,1/2,**,14-12,33.9,7.8,4,466(0),,,,堀宣行,村木篤,,201405010312,東
7,2,3,エターナルムーン,牝4,55,木幡初広,1:21.9,1.1/4,**,6-6,34.8,5.0,2,474(-4),,,,宗像義忠,鈴木芳夫,,201405010312,東
8,1,1,タガノルミナーレ,牝5,55,内田博幸,1:22.0,クビ,**,12-12,34.2,22.1,8,464(-6),,,,池添兼雄,八木良司,,201405010312,西
9,8,16,ツクバアラモード,牝4,55,吉田豊,1:22.0,ハナ,**,16-16,33.8,79.6,13,454(-4),,,,田中清隆,細谷武史,,201405010312,東
