着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
13,6,12,"
アステールネオ
",牝4,55,"
的場勇人
",1:22.4,クビ,"

**

",12-12,34.6,24.2,9,462(-2),"

","

","
","
[東]
的場均
","
鈴木伸昭
",,201405010312
14,2,4,"
アイティクイーン
",牝6,55,"
柴田大知
",1:22.8,2.1/2,"

**

",7-8,35.3,222.4,15,508(-6),"

","

","
","
[東]
矢野照正
","
一ノ瀬恭
",,201405010312
15,4,8,"
リアリティー
",牝4,52,"
山崎亮誠
",1:24.0,7,"

**

",3-3,37.4,164.2,14,470(+4),"

","

","



","
[東]
本間忍
","
小林弘明
",,201405010312
16,4,7,"
デコルテ
",牝7,52,"
原田和真
",1:25.0,6,"

**

",1-1,38.8,300,16,452(-22),"

","

","
","
[東]
小桧山悟
","
谷水雄三
",,201405010312
1,4,5,"
プロモントーリオ
",牡4,56,"
ベリー
",2:26.7,,"

**

",6-6-5-5,35,4,1,490(+4),"

","

","
","
[東]
萩原清
","
水上行雄
",1818,201405010410
2,5,6,"
クイーンオリーブ
",牝6,55,"
後藤浩輝
",2:26.7,クビ,"

**

",2-2-2-2,35.3,6.3,4,474(-2),"

","

","
","
[東]
牧光二
","
シルク
",728,201405010410
3,1,1,"
クリールカイザー
",牡5,57,"
吉田豊
",2:26.8,クビ,"

**

",10-9-9-9,34.7,4.7,3,484(-2),"

","

","
","
[東]
相沢郁
","
横山修二
",454,201405010410
4,6,8,"
マイネルメダリスト
",牡6,57,"
蛯名正義
",2:27.3,3,"

**

",4-4-5-4,35.7,8.5,6,498(-2),"

","

","
","
[東]
田中清隆
","
サラブレッドクラブ・ラフィアン
",270,201405010410
5,7,10,"
レオプログレス
",牡9,57,"
北村宏司
",2:27.5,1.1/2,"

**

",7-8-7-7,35.6,24.8,8,466(-4),"

","

","
","
[東]
萱野浩二
","
レオ
",179,201405010410
6,6,9,"
コスモユッカ
",牡5,57,"
柴田大知
",2:27.6,1/2,"

**

",5-5-3-2,36.1,7.1,5,488(-4),"

","

","
","
[東]
和田正一
","
ビッグレッドファーム
",,201405010410
7,7,11,"
ネオブラックダイヤ
",牡6,57,"
三浦皇成
",2:27.9,2,"

**

",9-9-9-7,36,85.3,11,500(-2),"

","

","
","
[東]
鹿戸雄一
","
小林仁幸
",,201405010410
8,4,4,"
シンボリボルドー
",牡7,57,"
木幡初広
",2:28.4,3,"

**

",11-11-12-12,35.8,184.7,12,464(0),"

","

","
","
[東]
石毛善彦
","
シンボリ牧場
",,201405010410
9,2,2,"
アップルジャック
",牡6,57,"
武豊
",2:28.8,2.1/2,"

**

",7-7-7-9,36.7,46.1,9,526(+8),"

","

","
","
[東]
堀井雅広
","
藤田在子
",,201405010410
10,3,3,"
トーセンハルカゼ
",牡4,56,"
松岡正海
",2:29.5,4,"

**

",11-11-11-9,37.4,4.6,2,496(+8),"

","

","



","
[東]
鈴木康弘
","
島川隆哉
",,201405010410
11,8,12,"
スーサングレート
",牡6,57,"
浜中俊
",2:30.9,9,"

**

",1-1-1-1,40,15.4,7,516(0),"

","

","
","
[西]
鈴木孝志
","
林進
",,201405010410
12,5,7,"
ポールアックス
",セ8,57,"
ブノワ
",2:31.2,1.3/4,"

**

",3-3-3-5,39.5,60,10,528(+16),"

","

","
","
[東]
藤沢和雄
","
山本英俊
",,201405010410
取,8,13,"
シャドウバンガード
",牡5,57,"
戸崎圭太
",,,"

**

",,,---,,計不,"

","

","
","
[西]
須貝尚介
","
飯塚知一
",,201405010410
1,4,7,"
ホエールキャプチャ
",牝6,57,"
蛯名正義
",1:33.2,,"

**

",8-10,34.3,20.6,8,482(+4),"

","

","



","
[東]
田中清隆
","
嶋田賢
",3858.1,201405010411
2,6,11,"
エキストラエンド
",牡5,56,"
Ｃ．デム
",1:33.4,1,"

**

",10-8,34.6,5.3,3,470(-2),"

","

","
","
[西]
角居勝彦
","
社台レースホース
",1516.6,201405010411
3,6,12,"
クラレント
",牡5,57,"
川田将雅
",1:33.4,アタマ,"

**

",4-3,35,7.5,5,500(+4),"

","

","
","
[西]
橋口弘次
","
前田晋二
",958.3,201405010411
4,7,13,"
コディーノ
",牡4,56,"
リスポリ
",1:33.4,クビ,"

**

",6-5,34.8,4.2,1,490(+8),"

","

","
","
[東]
藤沢和雄
","
サンデーレーシング
",570,201405010411
5,1,2,"
サトノギャラント
",牡5,56,"
北村宏司
",1:33.5,クビ,"

**

",13-13,34.2,6.1,4,506(+8),"

","

","



","
[東]
藤沢和雄
","
里見治
",380,201405010411
6,3,5,"
レイカーラ
",牝5,54,"
石橋脩
",1:33.5,クビ,"

**

",8-8,34.7,16.4,6,448(+4),"

","

","
","
[東]
堀宣行
","
下河辺隆行
",,201405010411
7,5,9,"
サクラゴスペル
",牡6,57,"
横山典弘
",1:33.6,1/2,"

**

",4-5,35.1,22.4,10,484(+8),"

","

","
","
[東]
尾関知人
","
さくらコマース
",,201405010411
8,7,14,"
エールブリーズ
",牡4,56,"
戸崎圭太
",1:33.7,1/2,"

**

",6-5,35.1,29.9,11,516(+8),"

","

","
","
[西]
鮫島一歩
","
社台レースホース
",,201405010411
9,2,3,"
セイクリッドセブン
",牡7,56,"
田辺裕信
",1:33.7,クビ,"

**

",11-11,34.6,211.9,13,488(+18),"

","

","
","
[西]
松田博資
","
社台レースホース
",,201405010411
10,5,10,"
ショウナンマイティ
",牡6,57,"
浜中俊
",1:33.8,1/2,"

**

",14-14,34.3,4.5,2,500(+2),"

","

","



","
[西]
梅田智之
","
国本哲秀
",,201405010411
11,8,15,"
ヴィルシーナ
",牝5,56,"
内田博幸
",1:34.4,3.1/2,"

**

",3-3,36,20.6,9,456(+2),"

","

","
","
[西]
友道康夫
","
佐々木主浩
",,201405010411
12,1,1,"
ラインブラッド
",牡8,56,"
岩田康誠
",1:34.6,1.1/4,"

**

",11-11,35.5,268.4,14,510(-2),"

","

","
","
[西]
領家政蔵
","
大澤繁昌
",,201405010411
13,4,8,"
レッドスパーダ
",牡8,58,"
ブノワ
",1:34.7,1/2,"

**

",2-2,36.4,17.5,7,530(+2),"

","

","



","
[東]
藤沢和雄
","
東京ホースレーシング
",,201405010411
14,3,6,"
コスモセンサー
",牡7,56,"
柴田大知
",1:35.8,7,"

**

",1-1,37.7,99.2,12,518(+4),"

","

","
","
[西]
西園正都
","
ビッグレッドファーム
",,201405010411
取,2,4,"
サトノシュレン
",牡6,56,"
武豊
",,,"

**

",,,---,,計不,"

","

","
","
[西]
村山明
","
里見治
",,201405010411
取,8,16,"
リルダヴァル
",牡7,56,"
三浦皇成
",,,"

**

",,,---,,計不,"

","

","
","
[西]
池江泰寿
","
サンデーレーシング
",,201405010411
1,3,6,"
ダンディーレイ
",牡4,57,"
江田照男
",1:23.3,,"

**

",6-6,35.1,7.1,4,482(+2),"

","

","



","
[東]
田村康仁
","
高木競走馬育成牧場
",1020,201405010412
2,6,12,"
ノウレッジ
",牡4,57,"
蛯名正義
",1:23.3,クビ,"

**

",8-7,35,4.6,1,504(+8),"

","

","
","
[東]
二ノ宮敬
","
Ｈ．Ｈ．シェイク・モハメド
",410,201405010412
3,2,4,"
ラヴィアンクレール
",牡6,57,"
Ｃ．デム
",1:23.5,1,"

**

",1-1,35.6,6.6,3,460(+2),"

","

","
","
[東]
鈴木伸尋
","
社台レースホース
",260,201405010412
4,1,2,"
ヴィンテージイヤー
",牡5,57,"
福永祐一
",1:23.5,クビ,"

**

",2-2,35.6,4.6,2,518(-4),"

","

","
","
[西]
白井寿昭
","
ヒダカ・ブリーダーズ・ユニオン
",150,201405010412
5,6,11,"
ゲマインシャフト
",牡4,57,"
松岡正海
",1:23.6,3/4,"

**

",11-9,35.1,36.8,12,494(+4),"

","

","
","
[東]
伊藤大士
","
丸山担
",102,201405010412
6,4,8,"
ジャーグラット
",牡6,57,"
三浦皇成
",1:23.6,ハナ,"

**

",11-9,35,22.7,8,434(-14),"

","

","



","
[東]
石毛善彦
","
本間茂
",,201405010412
7,3,5,"
ミヤビリファイン
",牡5,57,"
吉田豊
",1:23.8,1.1/2,"

**

",4-4,35.7,26.1,9,506(-6),"

","

","
","
[東]
大久保洋
","
村上義勝
",,201405010412
8,2,3,"
サルバドールハクイ
",牡4,57,"
石橋脩
",1:24.0,1.1/4,"

**

",6-7,35.7,8.8,6,462(+6),"

","

","
","
[東]
相沢郁
","
則武輝一
",,201405010412
9,7,13,"
ラブリースター
",牝5,55,"
武豊
",1:24.2,3/4,"

**

",2-2,36.3,16.9,7,468(-2),"

","

","
","
[東]
堀井雅広
","
長谷川光司
",,201405010412
10,8,16,"
バーチャルトラック
",牡6,57,"
後藤浩輝
",1:24.3,3/4,"

**

",15-15,35.3,39.5,13,462(+6),"

","

","
","
[東]
藤原辰雄
","
宮崎冴子
",,201405010412
11,4,7,"
オリオンザプラズマ
",牡4,57,"
田辺裕信
",1:24.6,2,"

**

",10-9,36.1,26.9,10,460(-8),"

","

","



","
[東]
小西一男
","
平本敏夫
",,201405010412
12,8,15,"
ヘアーオブザドッグ
",牡5,57,"
ベリー
",1:24.6,クビ,"

**

",13-13,35.8,8.5,5,520(-4),"

","

","



","
[東]
鈴木康弘
","
平賀久枝
",,201405010412
13,7,14,"
タプローム
",牝4,55,"
柴田大知
",1:24.7,クビ,"

**

",16-16,35.4,98.5,15,490(-12),"

","

","



","
[東]
斎藤誠
","
ミルファーム
",,201405010412
14,5,10,"
タイセイワイルド
",牡7,57,"
田中勝春
",1:24.8,1/2,"

**

",13-13,36,49.4,14,484(-8),"

","

","



","
[東]
二ノ宮敬
","
田中成奉
",,201405010412
15,1,1,"
カゼノサファイア
",牝4,55,"
村田一誠
",1:25.7,5,"

**

",8-9,37.2,201.1,16,462(+2),"

","

","
","
[東]
中野栄治
","
深井孟
",,201405010412
16,5,9,"
トーホウペガサス
",牡7,57,"
北村宏司
",1:26.1,2.1/2,"

**

",4-4,38.1,28.9,11,500(-4),"

","

","



","
[東]
古賀史生
","
東豊物産
",,201405010412
1,4,4,"
タールタン
",牡6,57,"
ベリー
",1:21.9,,"

**

",5-3,34.7,6,3,494(-8),"

","

","
","
[西]
吉村圭司
","
グリーンフィールズ
",1817.3,201405010510
2,8,12,"
キタサンイナズマ
",牡4,57,"
横山典弘
",1:22.3,2.1/2,"

**

",3-3,35.2,2.1,1,502(+4),"

","

","
","
[西]
昆貢
","
大野商事
",727.8,201405010510
3,5,6,"
サクラレグナム
",牡5,57,"
戸崎圭太
",1:22.7,2.1/2,"

**

",2-2,35.8,3.3,2,516(+12),"

","

","
","
[東]
金成貴史
","
さくらコマース
",453.9,201405010510
4,7,10,"
ダンシングマオ
",牝7,55,"
北村宏司
",1:22.9,1.1/4,"

**

",9-9,35.1,10.2,4,474(0),"

","

","
","
[東]
黒岩陽一
","
森口隆一郎
",270,201405010510
5,3,3,"
クロタカ
",牝5,55,"
松岡正海
",1:23.0,3/4,"

**

",7-6,35.5,34.5,7,488(-2),"

","

","
","
[東]
手塚貴久
","
槇本牧場
",179,201405010510
6,5,5,"
ピオニエトウショウ
",牝5,55,"
丸田恭介
",1:23.2,1.1/2,"

**

",9-9,35.3,37.2,8,430(-10),"

","

","
","
[東]
土田稔
","
トウショウ産業
",,201405010510
7,1,1,"
デルマヌラリヒョン
",牡4,57,"
内田博幸
",1:23.4,1,"

**

",3-3,36.3,13.3,5,492(+10),"

","

","
","
[東]
古賀史生
","
浅沼廣幸
",,201405010510
8,7,9,"
エステーラブ
",牝7,55,"
蛯名正義
",1:23.5,1/2,"

**

",11-11,35.4,38.4,9,458(0),"

","

","
","
[東]
萱野浩二
","
齋藤宏明
",,201405010510
9,8,11,"
ディアセルヴィス
",牡4,57,"
中井裕二
",1:23.6,3/4,"

**

",7-8,36,121.5,10,480(+4),"

","

","
","
[東]
高橋裕
","
ディアレスト
",,201405010510
10,6,8,"
ワールドエンド
",牡5,57,"
三浦皇成
",1:24.6,6,"

**

",1-1,38,24.1,6,510(-6),"

","

","
","
[東]
田村康仁
","
ＨｉｍＲｏｃｋＲａｃｉｎｇ
",,201405010510
11,2,2,"
カゼノグッドボーイ
",牡8,57,"
村田一誠
",1:24.7,クビ,"

**

",11-11,36.6,315.4,12,454(-8),"

","

","



","
[東]
中野栄治
","
深井孟
",,201405010510
12,6,7,"
メイショウハガクレ
",牡5,57,"
大野拓弥
",1:24.8,1/2,"

**

",6-6,37.3,125.4,11,468(+2),"

","

","
","
[西]
荒川義之
","
松本好雄
",,201405010510
1,3,6,"
フォーエバーモア
",牝3,54,"
蛯名正義
",1:35.7,,"

**

",2-2,34.6,1.8,1,460(0),"

","

","
","
[東]
鹿戸雄一
","
サンデーレーシング
",3461.6,201405010511
2,1,2,"
マジックタイム
",牝3,54,"
後藤浩輝
",1:35.7,クビ,"

**

",9-9,34.1,5.9,3,458(+12),"

","

","



","
[東]
中川公成
","
サンデーレーシング
",1417.6,201405010511
3,7,14,"
ニシノアカツキ
",牝3,54,"
ブノワ
",1:35.9,1.1/2,"

**

",11-11,34,15.6,5,454(-2),"

","

","
","
[東]
武藤善則
","
西山茂行
",858.8,201405010511
4,2,4,"
プレミアステイタス
",牝3,54,"
石橋脩
",1:36.0,クビ,"

**

",5-5,34.6,90.3,11,470(-6),"

","

","
","
[東]
大和田成
","
社台レースホース
",510,201405010511
5,8,16,"
デルマサリーチャン
",牝3,54,"
リスポリ
",1:36.0,アタマ,"

**

",11-11,34.1,176.5,14,452(+2),"

","

","
","
[東]
堀井雅広
","
浅沼廣幸
",340,201405010511
6,7,13,"
セレナビアンカ
",牝3,54,"
田中勝春
",1:36.1,クビ,"

**

",14-14,34,65.4,10,436(-2),"

","

","



","
[東]
宗像義忠
","
島川利子
",,201405010511
7,4,7,"
グリサージュ
",牝3,54,"
江田照男
",1:36.1,クビ,"

**

",1-1,35.1,34.1,7,472(-4),"

","

","
","
[東]
菊川正達
","
吉田哲哉
",,201405010511
8,5,10,"
ダイワソフィー
",牝3,54,"
丸田恭介
",1:36.2,クビ,"

**

",3-3,34.9,96.3,12,462(+6),"

","

","
","
[東]
宗像義忠
","
大城敬三
",,201405010511
9,4,8,"
タイセイティグレス
",牝3,54,"
三浦皇成
",1:36.2,クビ,"

**

",7-7,34.7,51.2,9,470(+2),"

","

","
","
[東]
菊川正達
","
田中成奉
",,201405010511
10,1,1,"
シュヴァリエ
",牝3,54,"
松岡正海
",1:36.3,クビ,"

**

",7-7,34.8,148.2,13,426(-4),"

","

","



","
[西]
山内研二
","
ノルマンディーサラブレッドレーシング
",,201405010511
11,2,3,"
サクラパリュール
",牝3,54,"
北村宏司
",1:36.5,1,"

**

",3-3,35.2,29.1,6,480(-2),"

","

","
","
[東]
尾関知人
","
さくらコマース
",,201405010511
12,8,15,"
ラインハーディー
",牝3,54,"
横山典弘
",1:36.7,1.1/4,"

**

",15-15,34.4,37.1,8,476(0),"

","

","



","
[東]
水野貴広
","
大澤繁昌
",,201405010511
13,5,9,"
フリュクティドール
",牝3,54,"
津村明秀
",1:36.8,1/2,"

**

",11-11,34.9,208.9,15,416(0),"

","

","
","
[東]
田中清隆
","
ミルファーム
",,201405010511
14,6,12,"
デルフィーノ
",牝3,54,"
内田博幸
",1:36.8,クビ,"

**

",5-5,35.4,5.3,2,450(-10),"

","

","
","
[東]
牧光二
","
ロードホースクラブ
",,201405010511
15,6,11,"
カノーロ
",牝3,54,"
戸崎圭太
",1:38.6,大,"

**

",9-9,36.9,9.2,4,416(0),"

","

","
","
[東]
堀宣行
","
サンデーレーシング
",,201405010511
除,3,5,"
ツクバアスナロ
",牝3,54,"
吉田豊
",,,"

**

",,,---,,462(-6),"

","

","
","
[東]
菊沢隆徳
","
荻原昭二
",,201405010511
1,1,2,"
オメガホームラン
",セ5,57,"
ベリー
",1:21.9,,"

**

",4-3,34.3,3.1,1,448(-2),"

","

","
","
[東]
古賀慎明
","
原礼子
",1020,201405010512
2,6,12,"
ジョーオリオン
",牡5,57,"
吉田豊
",1:22.2,1.3/4,"

**

",1-1,36.2,7.2,4,494(+18),"

","

","



","
[東]
田村康仁
","
上田けい子
",410,201405010512
3,2,3,"
レッドエレンシア
",牝6,55,"
三浦皇成
",1:22.2,クビ,"

**

",6-5,34.3,24.6,8,432(+2),"

","

","
","
[東]
鹿戸雄一
","
東京ホースレーシング
",260,201405010512
4,3,5,"
シャドウエミネンス
",牡6,57,"
ブノワ
",1:22.4,1.1/2,"

**

",11-9,34.3,37.3,11,476(-4),"

","

","



","
[東]
新開幸一
","
飯塚知一
",150,201405010512
5,6,11,"
ショウナンダイチ
",牡4,57,"
内田博幸
",1:22.5,クビ,"

**

",15-13,34.2,5.1,2,478(+4),"

","

","



","
[東]
古賀史生
","
国本哲秀
",102,201405010512
6,4,7,"
プロスペラスマム
",牝7,52,"
原田和真
",1:22.5,クビ,"

**

",8-9,34.4,254.1,16,530(-2),"

","

","



","
[東]
小桧山悟
","
本杉芳郎
",,201405010512
7,2,4,"
クリノチョモランマ
",牡4,57,"
田辺裕信
",1:22.6,1/2,"

**

",5-5,34.8,8.3,5,520(+8),"

","

","
","
[東]
高市圭二
","
栗本博晴
",,201405010512
8,8,15,"
ゴールデンクラウン
",セ5,56,"
横山和生
",1:22.8,1.1/4,"

**

",2-2,35.5,24.5,7,520(+8),"

","

","



","
[東]
大竹正博
","
吉田和子
",,201405010512
9,1,1,"
フリーアズアバード
",セ6,57,"
柴田大知
",1:22.9,クビ,"

**

",8-5,35,97.5,14,472(+6),"

","

","
","
[東]
金成貴史
","
ヒダカ・ブリーダーズ・ユニオン
",,201405010512
10,3,6,"
ダイワインスパイア
",牡5,57,"
北村宏司
",1:22.9,クビ,"

**

",2-3,35.3,28.7,10,476(0),"

","

","
","
[東]
池上昌弘
","
大城敬三
",,201405010512
11,5,9,"
モンテフジサン
",牡7,57,"
横山典弘
",1:23.1,1.1/4,"

**

",8-9,35,53.3,13,494(+10),"

","

","
","
[東]
松山康久
","
毛利喜昭
",,201405010512
12,8,16,"
ミエノゴーゴー
",牡6,57,"
戸崎圭太
",1:23.1,ハナ,"

**

",13-13,34.8,14.1,6,480(-6),"

","

","



","
[東]
堀宣行
","
里見美惠子
",,201405010512
13,7,14,"
スズノフウジン
",牡4,56,"
中井裕二
",1:23.1,アタマ,"

**

",15-16,34.6,26.6,9,504(-4),"

","

","



","
[東]
高橋裕
","
小紫嘉之
",,201405010512
14,5,10,"
アポロオラクル
",牡4,57,"
後藤浩輝
",1:23.3,1.1/4,"

**

",11-9,35.2,47.3,12,448(0),"

","

","
","
[東]
岩戸孝樹
","
アポロサラブレッドクラブ
",,201405010512
15,4,8,"
エネアド
",牡5,57,"
蛯名正義
",1:23.5,1.1/4,"

**

",13-13,35.2,5.9,3,446(-2),"

","

","



","
[東]
戸田博文
","
キャロットファーム
",,201405010512
16,7,13,"
アグネスティンクル
",牡7,57,"
田中勝春
",1:23.9,2.1/2,"

**

",6-8,35.9,163.9,15,482(+10),"

","

","
","
[西]
森秀行
","
渡辺孝男
",,201405010512
1,4,6,"
アミカブルナンバー
",牝5,55,"
内田博幸
",1:21.6,,"

**

",5-5,33.7,3.5,1,470(+12),"

","

","
","
[東]
鈴木康弘
","
池谷誠一
",1824.3,201405010610
2,7,11,"
タマモマーブル
",セ6,57,"
武士沢友
",1:21.7,3/4,"

**

",12-13,33.3,32.3,11,472(-14),"

","

","
","
[西]
小原伊佐
","
タマモ
",729.8,201405010610
3,3,4,"
デンファレ
",牝7,55,"
的場勇人
",1:21.7,ハナ,"

**

",3-4,33.9,21.6,7,494(+6),"

","

","



","
[東]
的場均
","
ヒダカ・ブリーダーズ・ユニオン
",454.9,201405010610
4,1,1,"
キッズニゴウハン
",牡6,57,"
田辺裕信
",1:21.7,アタマ,"

**

",8-11,33.4,23.2,8,492(+2),"

","

","
","
[東]
牧光二
","
瀬谷隆雄
",270,201405010610
5,3,3,"
ハーコット
",牡5,57,"
三浦皇成
",1:21.7,アタマ,"

**

",8-8,33.6,16.5,5,468(-6),"

","

","



","
[東]
鹿戸雄一
","
社台レースホース
",179,201405010610
6,8,13,"
セイクレットレーヴ
",牡5,57,"
北村宏司
",1:21.7,アタマ,"

**

",12-11,33.4,3.7,2,470(+4),"

","

","
","
[東]
田中清隆
","
嶋田賢
",,201405010610
7,5,8,"
ゴーハンティング
",牡6,57,"
戸崎圭太
",1:21.8,1/2,"

**

",8-8,33.7,34.6,12,518(+14),"

","

","
","
[東]
堀宣行
","
サンデーレーシング
",,201405010610
8,7,12,"
ロードガルーダ
",牡5,57,"
岩田康誠
",1:21.8,クビ,"

**

",14-14,33,5.7,3,504(-10),"

","

","



","
[西]
池江泰寿
","
ロードホースクラブ
",,201405010610
9,2,2,"
サトノヒーロー
",牡5,57,"
ブノワ
",1:21.9,1/2,"

**

",5-7,33.9,6,4,540(+2),"

","

","
","
[東]
藤沢和雄
","
里見治
",,201405010610
10,6,9,"
ミナレット
",牝4,55,"
津村明秀
",1:21.9,クビ,"

**

",2-2,34.3,29.3,10,472(+6),"

","

","
","
[東]
大和田成
","
ミルファーム
",,201405010610
11,5,7,"
ヒラボクインパクト
",牡6,57,"
蛯名正義
",1:22.0,1/2,"

**

",8-8,33.9,24.2,9,494(+16),"

","

","
","
[東]
国枝栄
","
平田牧場
",,201405010610
12,4,5,"
マイネルアダマス
",牡5,57,"
柴田大知
",1:22.1,クビ,"

**

",5-5,34.2,20.1,6,424(-8),"

","

","
","
[東]
菅原泰夫
","
サラブレッドクラブ・ラフィアン
",,201405010610
13,6,10,"
メジロツボネ
",牝6,55,"
横山和生
",1:22.1,クビ,"

**

",1-1,34.8,131.2,14,456(+6),"

","

","
","
[東]
高木登
","
岩崎伸道
",,201405010610
14,8,14,"
シルクウェッジ
",牡7,57,"
江田照男
",1:22.8,4,"

**

",3-3,35.1,96.1,13,490(+6),"

","

","
","
[東]
和田正道
","
シルク
",,201405010610
1,5,7,"
イスラボニータ
",牡3,57,"
蛯名正義
",1:48.1,,"

**

",4-3-4,33.2,2.2,1,462(+2),"

","

","
","
[東]
栗田博憲
","
社台レースホース
",3754.6,201405010611
2,2,2,"
ベルキャニオン
",牡3,56,"
福永祐一
",1:48.3,1.1/4,"

**

",6-6-7,33.1,7.2,3,480(+2),"

","

","



","
[東]
堀宣行
","
金子真人ホールディングス
",1515.6,201405010611
3,4,5,"
サトノアラジン
",牡3,56,"
岩田康誠
",1:48.6,2,"

**

",6-9-2,33.8,3.3,2,514(-4),"

","

","



","
[西]
池江泰寿
","
里見治
",937.8,201405010611
4,7,12,"
マイネルフロスト
",牡3,56,"
三浦皇成
",1:48.6,クビ,"

**

",6-8-11,33.3,33.3,7,486(+4),"

","

","
","
[東]
高木登
","
サラブレッドクラブ・ラフィアン
",560,201405010611
5,7,11,"
ピオネロ
",牡3,56,"
リスポリ
",1:48.8,1.1/2,"

**

",6-9-7,33.6,14.6,6,476(-10),"

","

","



","
[西]
松永幹夫
","
キャロットファーム
",370,201405010611
6,1,1,"
ハギノハイブリッド
",牡3,56,"
藤岡佑介
",1:48.9,クビ,"

**

",6-9-12,33.5,34.5,9,442(-8),"

","

","



","
[西]
松田国英
","
日隈良江
",,201405010611
7,3,4,"
ローハイド
",牡3,56,"
戸崎圭太
",1:48.9,アタマ,"

**

",13-14-12,33.4,33.5,8,468(-8),"

","

","
","
[西]
松田博資
","
石川達絵
",,201405010611
8,4,6,"
ショウナンワダチ
",牡3,56,"
北村宏司
",1:48.9,クビ,"

**

",12-13-7,33.7,14,5,476(-4),"

","

","
","
[東]
大竹正博
","
国本哲秀
",,201405010611
9,6,10,"
ラインカグラ
",牝3,54,"
田中勝春
",1:49.0,クビ,"

**

",2-2-2,34.2,145,13,428(+4),"

","

","
","
[東]
水野貴広
","
大澤繁昌
",,201405010611
